Date,Time,UTC,Receiver,ID,Lat,Long,Dist,VR100det,RecDet
6/11/2021,20:11.8,20:11.8,LJK11,123755,32.82983,-117.29591,28.53962294,1,1
6/11/2021,20:03.6,20:03.6,LJK11,123755,32.82983,-117.29591,28.53962294,1,1
6/11/2021,19:55.4,19:55.4,LJK11,123755,32.82984,-117.29591,27.50825628,1,1
6/11/2021,19:47.1,19:47.1,LJK11,123755,32.82985,-117.29593,27.26608696,1,1
6/11/2021,19:38.9,19:38.9,LJK11,123755,32.82988,-117.29594,24.81594172,1,1
6/11/2021,19:30.7,19:30.7,LJK11,123755,32.82988,-117.29596,25.85406595,1,1
6/11/2021,19:06.0,19:06.0,LJK11,123755,32.82986,-117.29594,26.72497013,1,1
6/3/2021,19:48.0,19:48.0,LJK3,125268,32.85633,-117.27671,407.0892503,1,0
6/3/2021,19:22.2,19:22.2,LJK3,125268,32.85627,-117.27657,392.4004834,1,0
6/3/2021,18:57.3,18:57.3,LJK3,125268,32.85621,-117.27642,376.8937697,1,0
6/3/2021,18:31.5,18:31.5,LJK3,125268,32.85617,-117.27623,359.2233829,1,0
6/3/2021,18:05.7,18:05.7,LJK3,125268,32.85611,-117.27609,344.5455538,1,0
6/3/2021,17:39.9,17:39.9,LJK3,125268,32.85604,-117.27599,332.5665601,1,0
6/3/2021,17:14.1,17:14.1,LJK3,125268,32.85598,-117.27588,320.3281558,1,0
6/3/2021,16:48.3,16:48.3,LJK3,125268,32.85591,-117.27572,303.4703216,1,0
6/3/2021,16:22.5,16:22.5,LJK3,125268,32.85581,-117.2756,288.2578054,1,0
6/3/2021,15:56.7,15:56.7,LJK3,125268,32.85575,-117.27548,275.2097163,1,0
6/3/2021,15:30.9,15:30.9,LJK3,125268,32.85569,-117.27535,261.3405662,1,1
6/3/2021,15:05.1,15:05.1,LJK3,125268,32.85563,-117.27524,249.1158743,1,0
6/3/2021,14:39.3,14:39.3,LJK3,125268,32.85556,-117.27514,237.1994701,1,1
6/3/2021,14:13.5,14:13.5,LJK3,125268,32.85553,-117.27505,228.1991232,1,0
6/3/2021,13:47.7,13:47.7,LJK3,125268,32.8555,-117.27488,212.6459084,1,0
6/3/2021,13:21.9,13:21.9,LJK3,125268,32.85544,-117.27467,192.2891622,1,0
6/3/2021,12:57.1,12:57.1,LJK3,125268,32.85539,-117.27453,178.1932073,1,1
6/3/2021,12:31.3,12:31.3,LJK3,125268,32.85533,-117.27438,162.7409335,1,1
6/3/2021,12:05.5,12:05.5,LJK3,125268,32.85527,-117.27425,148.8922149,1,0
6/3/2021,11:39.7,11:39.7,LJK3,125268,32.85518,-117.27407,129.3144097,1,0
6/3/2021,11:13.9,11:13.9,LJK3,125268,32.85511,-117.27393,114.0885641,1,0
6/3/2021,10:48.1,10:48.1,LJK3,125268,32.85505,-117.27377,97.90333303,1,0
6/3/2021,10:22.3,10:22.3,LJK3,125268,32.85499,-117.27364,84.09664192,1,0
6/3/2021,09:30.7,09:30.7,LJK3,125268,32.85488,-117.27337,56.5242241,1,0
6/3/2021,09:04.9,09:04.9,LJK3,125268,32.85481,-117.27323,41.50776673,1,0
6/3/2021,08:40.0,08:40.0,LJK3,125268,32.85472,-117.2731,25.79427602,1,1
6/3/2021,07:48.5,07:48.5,LJK3,125268,32.85461,-117.27289,5.623546553,1,1
6/3/2021,19:48.0,19:48.0,Charles,120251,32.85633,-117.27671,449.9217708,1,0
6/3/2021,19:22.2,19:22.2,Charles,120251,32.85627,-117.27657,437.8144805,1,0
6/3/2021,18:57.3,18:57.3,Charles,120251,32.85621,-117.27642,424.9464787,1,0
6/3/2021,18:31.5,18:31.5,Charles,120251,32.85617,-117.27623,408.1784054,1,0
6/3/2021,18:05.7,18:05.7,Charles,120251,32.85611,-117.27609,396.579385,1,0
6/3/2021,17:39.9,17:39.9,Charles,120251,32.85604,-117.27599,389.0895952,1,0
6/3/2021,17:14.1,17:14.1,Charles,120251,32.85598,-117.27588,380.6577709,1,0
6/3/2021,16:48.3,16:48.3,Charles,120251,32.85591,-117.27572,368.2414682,1,1
6/3/2021,16:22.5,16:22.5,Charles,120251,32.85581,-117.2756,360.7844939,1,0
6/3/2021,15:56.7,15:56.7,Charles,120251,32.85575,-117.27548,352.3422317,1,0
6/3/2021,15:30.9,15:30.9,Charles,120251,32.85569,-117.27535,343.3177811,1,1
